gene,beta_mean,beta_sd,psp,lfsr,tau_beta_mean,tau_u_mean,phi_mean,n_obs,n_sgrna,n_sample,batch_size
CYP24A1,-0.058835131790121745,0.33848045976759517,0.445,0.445,0.4642382351706752,1.5244938516894624,0.3778457202886702,16,4,4,500
CYP27B1,0.14520159471139166,0.3417695857306225,0.662,0.33799999999999997,0.4642382351706752,1.5244938516894624,0.3778457202886702,16,4,4,500
CYP4F8,-0.03904221997589083,0.33225856190019787,0.445,0.445,0.4642382351706752,1.5244938516894624,0.3778457202886702,16,4,4,500
CYSLTR2,0.06974236379937217,0.32953235324362273,0.587,0.41300000000000003,0.4642382351706752,1.5244938516894624,0.3778457202886702,16,4,4,500
CYTH1,0.10498237069030053,0.3283680146748989,0.624,0.376,0.4642382351706752,1.5244938516894624,0.3778457202886702,16,4,4,500
DBI,-0.031210264812578836,0.31333025982100415,0.456,0.456,0.4642382351706752,1.5244938516894624,0.3778457202886702,16,4,4,500
DCAF16,0.1740585043232618,0.3312700703510968,0.71,0.29000000000000004,0.4642382351706752,1.5244938516894624,0.3778457202886702,16,4,4,500
DCTN6,0.033990172299728796,0.3339195357883169,0.541,0.45899999999999996,0.4642382351706752,1.5244938516894624,0.3778457202886702,16,4,4,500
DDR1,0.04238634665359583,0.31210875285358286,0.559,0.44099999999999995,0.4642382351706752,1.5244938516894624,0.3778457202886702,16,4,4,500
DERL2,0.05413773606780669,0.3323638952402296,0.557,0.44299999999999995,0.4642382351706752,1.5244938516894624,0.3778457202886702,16,4,4,500
DHRSX,0.17090105995209165,0.32000726952105535,0.681,0.31899999999999995,0.4642382351706752,1.5244938516894624,0.3778457202886702,16,4,4,500
DIEXF,0.0654175372430742,0.32807548829032,0.572,0.42800000000000005,0.4642382351706752,1.5244938516894624,0.3778457202886702,16,4,4,500
DISC1,-0.03466427446725039,0.3111783860854456,0.447,0.447,0.4642382351706752,1.5244938516894624,0.3778457202886702,16,4,4,500
DLD,0.044741958617084396,0.30824897411128405,0.566,0.43400000000000005,0.4642382351706752,1.5244938516894624,0.3778457202886702,16,4,4,500
DNAJC19,-0.032146548764746964,0.32777560225608515,0.462,0.462,0.4642382351706752,1.5244938516894624,0.3778457202886702,16,4,4,500
DNAJC25-GNG10,0.1313490676854798,0.3167963714824401,0.681,0.31899999999999995,0.4642382351706752,1.5244938516894624,0.3778457202886702,16,4,4,500
DNHD1,0.12425473234174395,0.32921326552044333,0.652,0.348,0.4642382351706752,1.5244938516894624,0.3778457202886702,16,4,4,500
DNM2,-0.11659513133069405,0.3148143155769339,0.347,0.347,0.4642382351706752,1.5244938516894624,0.3778457202886702,16,4,4,500
DNTT,-0.19699694418607222,0.31901703681058263,0.262,0.262,0.4642382351706752,1.5244938516894624,0.3778457202886702,16,4,4,500
DPF3,0.14359973877683876,0.3352060403616451,0.677,0.32299999999999995,0.4642382351706752,1.5244938516894624,0.3778457202886702,16,4,4,500
DPRX,0.09950558141942537,0.33193856067629707,0.612,0.388,0.4642382351706752,1.5244938516894624,0.3778457202886702,16,4,4,500
DPYS,-0.06927911997921958,0.32549604299946416,0.421,0.421,0.4642382351706752,1.5244938516894624,0.3778457202886702,16,4,4,500
DUSP18,-0.16427196801825336,0.34927957722411695,0.325,0.325,0.4642382351706752,1.5244938516894624,0.3778457202886702,16,4,4,500
DUSP23,0.05904237473009289,0.3337910587428491,0.572,0.42800000000000005,0.4642382351706752,1.5244938516894624,0.3778457202886702,16,4,4,500
DUSP9,0.0770611936983401,0.3364508286511462,0.584,0.41600000000000004,0.4642382351706752,1.5244938516894624,0.3778457202886702,16,4,4,500
ECE2,0.007322645115305771,0.3056117340278515,0.513,0.487,0.4642382351706752,1.5244938516894624,0.3778457202886702,16,4,4,500
