gene,dir,fdr,log2fc,neglog10_fdr,abs_log2fc,hit
B3GALT2,neg,1.0,0.059064,-0.0,0.059064,False
PSMA8,neg,1.0,0.082122,-0.0,0.082122,False
CDK5RAP3,neg,1.0,0.093483,-0.0,0.093483,False
OR1K1,neg,1.0,0.098337,-0.0,0.098337,False
GLRA3,neg,1.0,-0.073302,-0.0,0.073302,False
SEC23A,neg,1.0,0.10006,-0.0,0.10006,False
MAGED4,neg,1.0,0.12343,-0.0,0.12343,False
PALM3,neg,1.0,0.15949,-0.0,0.15949,False
NFIB,neg,1.0,0.023905,-0.0,0.023905,False
TMEM165,neg,1.0,0.14017,-0.0,0.14017,False
PIK3CB,neg,1.0,0.15484,-0.0,0.15484,False
ACTA1,neg,1.0,0.16438,-0.0,0.16438,False
MGAT5B,neg,1.0,0.089989,-0.0,0.089989,False
LCN9,neg,1.0,0.25433,-0.0,0.25433,False
RHBDD3,neg,1.0,0.17057,-0.0,0.17057,False
CAMK2N1,neg,1.0,0.13131,-0.0,0.13131,False
SLC29A4,neg,1.0,-0.071805,-0.0,0.071805,False
PCDHGA6,neg,1.0,0.035558,-0.0,0.035558,False
NOMO1,pos,0.804634,0.38821,0.09440162016096722,0.38821,False
GLT6D1,neg,1.0,-0.014855,-0.0,0.014855,False
ZNF704,neg,1.0,0.080021,-0.0,0.080021,False
STK10,neg,1.0,0.18292,-0.0,0.18292,False
PCDHGB2,neg,1.0,0.1372,-0.0,0.1372,False
LMX1B,neg,1.0,0.0639,-0.0,0.0639,False
TNP1,neg,1.0,0.10611,-0.0,0.10611,False
CECR1,neg,1.0,0.042532,-0.0,0.042532,False
MLXIPL,neg,1.0,-0.037022,-0.0,0.037022,False
NRSN2,neg,1.0,-0.0077167,-0.0,0.0077167,False
TAS2R20,neg,1.0,-0.0059252,-0.0,0.0059252,False
PLAT,neg,1.0,0.15536,-0.0,0.15536,False
MRPS17,neg,1.0,0.1746,-0.0,0.1746,False
ACAT2,pos,0.917818,0.29847,0.037243429291154234,0.29847,False
KRTAP9-1,neg,1.0,0.1185,-0.0,0.1185,False
FAM132B,pos,0.977974,0.31355,0.0096726910269443,0.31355,False
RSBN1,neg,1.0,0.17082,-0.0,0.17082,False
LHX2,neg,1.0,-0.010957,-0.0,0.010957,False
DGKA,neg,1.0,0.14966,-0.0,0.14966,False
TRAF3IP2,neg,1.0,0.071944,-0.0,0.071944,False
NKG7,neg,1.0,0.095682,-0.0,0.095682,False
OR2C1,neg,1.0,0.10368,-0.0,0.10368,False
SWT1,neg,1.0,0.094524,-0.0,0.094524,False
WDR86,neg,1.0,0.083264,-0.0,0.083264,False
ACADM,neg,1.0,0.037682,-0.0,0.037682,False
STMND1,neg,1.0,0.10109,-0.0,0.10109,False
NCMAP,neg,1.0,-0.032337,-0.0,0.032337,False
DUSP12,neg,1.0,0.15959,-0.0,0.15959,False
EXPH5,neg,1.0,0.19401,-0.0,0.19401,False
CEP290,neg,1.0,0.18018,-0.0,0.18018,False
C4orf3,neg,1.0,-0.036815,-0.0,0.036815,False
CYP3A4,neg,1.0,0.13988,-0.0,0.13988,False
NDUFS1,neg,1.0,0.12053,-0.0,0.12053,False
IFNL1,neg,1.0,0.16853,-0.0,0.16853,False
ZBTB34,neg,1.0,-0.03464,-0.0,0.03464,False
PLA2G12B,neg,1.0,0.11748,-0.0,0.11748,False
TSPAN33,neg,1.0,-0.018232,-0.0,0.018232,False
INO80E,pos,0.078231,0.53563,1.1066211182813153,0.53563,False
CACTIN,neg,1.0,0.21671,-0.0,0.21671,False
SGK3,neg,1.0,0.26044,-0.0,0.26044,False
CCDC106,pos,0.702436,0.36713,0.15339323884354944,0.36713,False
SRGAP2,neg,1.0,0.13717,-0.0,0.13717,False
SCAPER,neg,1.0,0.15791,-0.0,0.15791,False
YWHAQ,neg,1.0,0.070766,-0.0,0.070766,False
HMX1,neg,1.0,0.018919,-0.0,0.018919,False
CCDC57,neg,1.0,0.025934,-0.0,0.025934,False
DAPP1,neg,1.0,0.028831,-0.0,0.028831,False
GALNT14,neg,1.0,0.061455,-0.0,0.061455,False
PUF60,neg,1.0,0.29044,-0.0,0.29044,False
KRTCAP2,neg,1.0,0.18631,-0.0,0.18631,False
INPP5F,neg,1.0,-0.040069,-0.0,0.040069,False
ERICH2,neg,1.0,0.2752,-0.0,0.2752,False
MOGAT3,neg,1.0,0.10387,-0.0,0.10387,False
PWP2,neg,1.0,0.21228,-0.0,0.21228,False
SCGB3A2,neg,1.0,0.18035,-0.0,0.18035,False
EGF,pos,0.765196,0.3068,0.11622730887797239,0.3068,False
TSEN34,neg,1.0,0.039097,-0.0,0.039097,False
BRAT1,neg,1.0,0.4171,-0.0,0.4171,False
TM9SF3,pos,0.608792,0.39714,0.21553106316698917,0.39714,False
PARP8,neg,1.0,0.0091636,-0.0,0.0091636,False
