gene,baseMean,n_sgrna,median_lfc,sign_consistency,mad_lfc,wald_beta,wald_se,wald_z,wald_p,composite_rank,confirm_sign_consistency
MMP27,245.3489278162822,4,0.3164359161398767,0.625,0.2881551530260532,0.2117064747042845,0.032108431408349555,6.59348543103329,4.296185629470983e-11,18087.0,0.75
ZCCHC11,330.2030050826539,4,0.22824831927504702,0.75,0.06792704131621638,0.10576975987701609,0.027555555972238223,3.8384186471714603,0.000123829226982064,18087.5,0.75
HNRNPC,141.8857910401566,4,-0.30491740777917486,0.75,0.32030841964626505,-0.12670228845561393,0.04206273219326725,-3.012222027647897,0.002593428348151461,18089.5,0.75
PAM,446.34075833989004,4,0.2066817275387513,0.75,0.07745721440736185,0.10006681864598888,0.02369661143555807,4.2228324044607115,2.4125121524720683e-05,18090.5,0.75
MMP14,468.6946631949651,4,-0.20310353938402542,0.75,0.09331722050628774,-0.09904844796019541,0.023122341369711204,-4.283668611948727,1.838366632278543e-05,18090.5,0.75
PPEF1,404.6797688553324,4,-0.20482092451958456,0.75,0.3346316770973963,-0.10589055364070521,0.02488843518494258,-4.254608731077181,2.0941488013237475e-05,18094.5,0.75
DLG1,443.0537290708542,4,-0.1667218721947887,0.75,0.2437587500070424,-0.12392668452188216,0.023793756731122034,-5.208369822483185,1.9050693422784093e-07,18095.5,1.0
DUS1L,333.8758352253554,4,-0.17920129616251163,0.75,0.16463761977176203,-0.13365908592720288,0.027422447870122702,-4.874075668234822,1.093190857170967e-06,18098.5,0.75
GGH,403.8165627555698,4,-0.14441847142710487,0.75,0.17842538241175773,-0.15140029454719173,0.024949854451107985,-6.068183477538013,1.293650742084651e-09,18100.5,0.5
KIAA0922,338.2541499732442,4,0.34750523467088945,0.625,0.663021921122899,0.16655807418161206,0.02728662093394774,6.1040197899474755,1.0343346179553237e-09,18103.0,0.5
LEMD3,182.9822084399984,4,0.2779476094351291,0.75,0.4950240648237425,0.11934510977602197,0.03703569370646001,3.2224348414244774,0.001271060719038264,18107.5,1.0
AKAP13,430.19533821784955,4,0.2169467029326455,0.75,0.21992286456001742,0.09773970155525968,0.024137514159137875,4.049286140688096,5.137410003097642e-05,18109.5,0.75
UBE2W,500.25732609254027,4,-0.19845190549601124,0.75,0.17379027970829308,-0.09809369111983945,0.022379343328801343,-4.383224729994499,1.1693537632639917e-05,18113.5,0.75
AHDC1,356.6884322659967,4,-0.2631114160164219,0.625,0.09942404244365517,-0.2174061387137054,0.026626053824109097,-8.165165598698318,2.220446049250313e-16,18115.5,0.5
GPR137B,343.99820685896356,4,-0.20041752879542835,0.75,0.2618933761202473,-0.11695560940816807,0.02700263462554484,-4.331266597872141,1.4825404586416013e-05,18116.5,0.75
DTD2,186.97057926369243,4,-0.34991723121203105,0.625,0.5191207230054248,-0.22326742456610138,0.03678420968060778,-6.0696539766574205,1.2818612837861565e-09,18118.0,0.75
FANCC,247.80819322028032,4,-0.3278928598599648,0.625,0.18048893889556938,-0.20284683014363603,0.03192279769362373,-6.3542936333601086,2.0938650813207005e-10,18120.0,0.5
UNC13A,433.6130896039623,4,-0.1832264063280506,0.75,0.16067145571042002,-0.11436067046568377,0.02405016218999396,-4.755089365395771,1.9835865394668417e-06,18120.5,0.5
NPPA,195.7163146558085,4,0.32173453286657394,0.75,0.0906186844647594,0.10370385025939788,0.0357941382068961,2.897229978271087,0.003764736656332479,18128.5,0.75
AAK1,436.5126844604009,4,-0.26781368894667057,0.625,0.32924550604423464,-0.19061197053105638,0.02403609423553577,-7.930238942450527,2.220446049250313e-15,18131.0,0.75
C19orf84,321.0637747399679,4,-0.23932226862335634,0.625,0.3521151491412377,-0.2437450877865701,0.028105120158600998,-8.672622156072757,0.0,18136.0,0.5
GK,668.8198079388965,4,-0.12780530812667618,0.75,0.13976051817904236,-0.13586591136059023,0.019374234654014885,-7.01271114895034,2.3374635560458046e-12,18138.5,0.75
PCNT,333.1514264677612,4,0.30202315553035863,0.625,0.21450657897694417,0.18679333347145888,0.027515912880914876,6.788556653739783,1.1326051208015997e-11,18140.0,0.75
TPBG,262.65288917615686,4,0.2860973646369689,0.625,0.23131627611624228,0.22304765726627962,0.03104984406929593,7.183535504026682,6.792344464656708e-13,18142.0,0.75
C1RL,268.08102023452767,4,0.12398718446123398,0.875,0.07062078213780403,0.122707703676183,0.030596241342316335,4.010548299162201,6.0577906262127e-05,18146.5,1.0
TCEA3,311.86724902068494,4,-0.17867501737822805,0.75,0.26622380999498796,-0.13802484629323564,0.028374143988803176,-4.8644585136278335,1.1477057626496645e-06,18148.5,0.75
OR5C1,319.9406422562805,4,0.21545566342992492,0.75,0.1544472459639119,0.11347219472795111,0.028000945032919052,4.052441608472449,5.0685876774814176e-05,18149.5,0.75
TAC4,304.8610033752997,4,0.3373343158504727,0.625,0.3361706965449629,0.17789651366777415,0.028757538383278526,6.186082803638526,6.167761856801235e-10,18156.0,0.75
GLT1D1,399.14841390570956,4,0.2887613759107224,0.75,0.08671184399501689,0.07785443182622354,0.025048306554979773,3.1081714708072967,0.001882488121202952,18160.5,0.75
RPL21,114.76735231976905,4,-0.3316152321055804,0.75,0.5603059357326943,-0.1316174064667101,0.0467715874683234,-2.8140461675766195,0.0048922201730108306,18165.5,1.0
NUP88,178.44462795213926,4,0.30637801214116744,0.625,0.27136697764481665,0.25210245779942336,0.037739093757741426,6.680140742587639,2.387134934167534e-11,18166.0,0.5
GHDC,338.46728826812705,4,0.3222893994476981,0.75,0.28227925768999734,0.07817296370912552,0.02720170820241904,2.8738255379922655,0.004055329076250169,18168.5,0.75
KRT28,230.38447015684685,4,-0.17616958553164389,0.75,0.31384364129670805,-0.16247841796239104,0.0330505111547198,-4.916063694197607,8.830167859130711e-07,18170.5,0.75
AGK,354.67069359193954,4,0.06958923919137333,0.875,0.12383440830114865,0.1713919718074638,0.026650889317835377,6.431003849945241,1.2676393268407082e-10,18174.5,1.0
KLLN,470.6407374169642,4,0.13764808460705605,0.75,0.1014601757815414,0.14723850399754324,0.023114550919968054,6.369948717902529,1.8909140919731726e-10,18176.5,1.0
FAM198A,222.0616868011912,4,-0.16810222104230463,0.75,0.1635301041181489,-0.17230144079570398,0.03367623606797242,-5.116410291456837,3.1140528777839904e-07,18186.5,0.5
TACC1,820.0693065869555,4,-0.10731288464140554,0.875,0.06698836679302775,-0.07885878358462428,0.01747290523552941,-4.513203873175756,6.385558569910188e-06,18187.5,0.75
