gene,beta_sd_nuts,eb_mu_logphi_batch,eb_tau_beta_scale,chains,psp_nuts,eb_sigma_logphi,draws,n_obs,lfsr_nuts,n_sample,tune,eb_tau_u_scale,batch_no,n_sgrna,beta_mean_nuts
INO80D,0.1134010288257927,1.5561944696080865,0.11494520954412,3,0.974,0.7084472251108588,1000,16,0.026,4,1500,0.4684258567770211,9,4,0.2093645688915767
INO80E,0.1197643386024068,1.550234325699251,0.11494520954412,3,0.989,0.7084472251108588,1000,16,0.011,4,1500,0.4684258567770211,4,4,0.2739964973597333
INPP1,0.1111066636111083,1.5561944696080865,0.11494520954412,3,0.1966666666666666,0.7084472251108588,1000,16,0.1966666666666666,4,1500,0.4684258567770211,9,4,-0.0959901340422202
INPP5A,0.1126765481523608,1.5665168278530832,0.11494520954412,3,0.0683333333333333,0.7084472251108588,1000,16,0.0683333333333333,4,1500,0.4684258567770211,5,4,-0.1658073991471864
INSL6,0.1134474005259897,1.5639467862677976,0.11494520954412,3,0.8133333333333334,0.7084472251108588,1000,16,0.1866666666666666,4,1500,0.4684258567770211,3,4,0.0984688319347712
INSR,0.1138221716360912,1.5627110919231797,0.11494520954412,3,0.7393333333333333,0.7084472251108588,1000,16,0.2606666666666667,4,1500,0.4684258567770211,2,4,0.0754503402063301
INTS10,0.1115662269396662,1.5665168278530832,0.11494520954412,3,0.9576666666666668,0.7084472251108588,1000,16,0.0423333333333333,4,1500,0.4684258567770211,5,4,0.1899293056993489
INTS12,0.1117481754239956,1.5697311140197716,0.11494520954412,3,0.0343333333333333,0.7084472251108588,1000,16,0.0343333333333333,4,1500,0.4684258567770211,6,4,-0.2034345343905114
INTS3,0.1198292758614519,1.5556958958618938,0.11494520954412,3,0.9126666666666666,0.7084472251108588,1000,16,0.0873333333333333,4,1500,0.4684258567770211,8,4,0.1612892049588443
INTS6,0.1148718934503774,1.5556958958618938,0.11494520954412,3,0.0003333333333333,0.7084472251108588,1000,16,0.0003333333333333,4,1500,0.4684258567770211,8,4,-0.3595820304067413
INTS7,0.1177078566483087,1.5706860989184106,0.11494520954412,3,0.929,0.7084472251108588,1000,16,0.0709999999999999,4,1500,0.4684258567770211,1,4,0.1711421169306662
INTS8,0.1131707248413189,1.5556958958618938,0.11494520954412,3,0.7763333333333333,0.7084472251108588,1000,16,0.2236666666666666,4,1500,0.4684258567770211,8,4,0.0884002947341116
INTU,0.11134239597895713,1.5633554843054513,0.11494520954412007,3,0.19066666666666668,0.7084472251108588,1000,16,0.19066666666666668,4,1500,0.4684258567770211,10,4,-0.09857808491706455
IP6K1,0.1151173549743267,1.5556958958618938,0.11494520954412,3,0.7626666666666667,0.7084472251108588,1000,16,0.2373333333333332,4,1500,0.4684258567770211,8,4,0.0794606230652656
IPCEF1,0.1107755863862114,1.5665168278530832,0.11494520954412,3,0.052,0.7084472251108588,1000,16,0.052,4,1500,0.4684258567770211,5,4,-0.1796991870950171
IPO11,0.1136438382943198,1.5658840941099257,0.11494520954412,3,0.0266666666666666,0.7084472251108588,1000,16,0.0266666666666666,4,1500,0.4684258567770211,7,4,-0.2168845308382718
IPO13,0.1160077853810907,1.5561944696080865,0.11494520954412,3,0.9403333333333334,0.7084472251108588,1000,16,0.0596666666666666,4,1500,0.4684258567770211,9,4,0.177135111045671
IPO8,0.11407513054195534,1.5633554843054513,0.11494520954412007,3,1.0,0.7084472251108588,1000,16,0.0,4,1500,0.4684258567770211,10,4,0.4414260026969948
IPP,0.115752998119452,1.5706860989184106,0.11494520954412,3,0.1883333333333333,0.7084472251108588,1000,16,0.1883333333333333,4,1500,0.4684258567770211,1,4,-0.1034622119816546
