gene,nb_improved_effect,nb_improved_psp,nb_improved_lfsr,bb_effect,bb_psp,bb_lfsr,pl_effect,pl_psp,pl_lfsr,nb_joint_effect,nb_joint_psp,nb_joint_lfsr
TMEM258,0.514,0.904,0.0959999999999999,1.101,1.0,0.0,1.27,1.0,0.0,0.4493510538394132,0.85,0.15
TMEM30A,-0.282,0.266,0.266,-0.54,0.019,0.019,-0.796,0.0,0.0,-0.7529020716357795,0.064,0.064
TNRC18,-0.217,0.282,0.282,-0.509,0.015,0.015,-0.53,0.0,0.0,-0.7549879099203044,0.043,0.043
TRAF2,0.29,0.791,0.2089999999999999,0.645,0.989,0.011,0.794,1.0,0.0,0.1006118316427692,0.606,0.394
TRAF3,0.256,0.741,0.259,0.685,0.998,0.002,0.653,1.0,0.0,0.0472020210446101,0.548,0.4519999999999999
TRAPPC4,0.295,0.779,0.2209999999999999,0.632,0.991,0.009,0.804,1.0,0.0,0.073110937553676,0.579,0.421
TRIM28,0.215,0.708,0.292,0.594,0.989,0.011,0.567,1.0,0.0,0.0098310294515263,0.495,0.495
TSR3,-0.209,0.31,0.31,-0.478,0.021,0.021,-0.489,0.0,0.0,-0.7550787999956399,0.047,0.047
UBE2N,-0.176,0.343,0.343,-0.436,0.035,0.035,-0.436,0.0,0.0,-0.6631224284148847,0.055,0.055
UBE2T,-0.223,0.261,0.261,-0.322,0.093,0.093,-0.642,0.0,0.0,-0.7835058243842815,0.032,0.032
UBXN7,0.151,0.619,0.381,0.355,0.937,0.0629999999999999,0.412,1.0,0.0,-0.0869896704810808,0.435,0.435
UHRF1,-0.371,0.154,0.154,-0.829,0.0,0.0,-1.018,0.0,0.0,-1.2057804898438431,0.004,0.004
URI1,0.262,0.723,0.277,0.538,0.982,0.018,0.542,1.0,0.0,-0.0002393032169069,0.49,0.49
USO1,0.594,0.933,0.0669999999999999,1.484,1.0,0.0,1.49,1.0,0.0,0.8319623433758832,0.981,0.019
UXT,0.352,0.784,0.2159999999999999,0.876,1.0,0.0,0.837,1.0,0.0,0.1525355377880814,0.637,0.363
VPS72,0.182,0.67,0.3299999999999999,0.48,0.974,0.026,0.423,1.0,0.0,-0.0641538292546672,0.443,0.443
WAS,0.196,0.701,0.299,0.482,0.968,0.032,0.442,1.0,0.0,-0.1031063384330411,0.421,0.421
XPR1,0.23,0.698,0.302,0.567,0.987,0.013,0.586,1.0,0.0,-0.0137293771357409,0.491,0.491
YBX1,-0.264,0.271,0.271,-0.528,0.01,0.01,-0.606,0.0,0.0,-0.6977181901846112,0.068,0.068
ZBTB7B,-0.384,0.138,0.138,-0.933,0.0,0.0,-0.993,0.0,0.0,-1.2312574751333605,0.0,0.0
ZC3H12A,-0.261,0.218,0.218,-0.654,0.006,0.006,-0.763,0.0,0.0,-1.0369677852535266,0.003,0.003
ZNF384,-0.23,0.29,0.29,-0.586,0.01,0.01,-0.581,0.0,0.0,-0.7613983313782254,0.039,0.039
