gene,beta_mean_nuts,beta_sd_nuts,p_beta_gt_0_norm,p_beta_lt_0_norm,psp_norm,lfsr_norm,p_abs_beta_ge_0_3_norm,p_abs_beta_ge_0_5_norm,n_obs,n_sgrna,n_sample,chains,draws,tune,hit,psp_delta,lfsr_delta,p_abs_0_3_delta,p_abs_0_5_delta
MBD2,-0.4180906189309681,0.1099973545856812,7.20813131134257e-05,0.9999279186868866,0.9999279186868866,7.20813131134257e-05,0.858493822270751,0.22824207610977904,16,4,4,3,1000,1500,True,0.9999279186868866,7.20813131134257e-05,0.0018271556040843073,0.013242076109779038
MBD3,0.1145276968538826,0.1130906161128383,0.8444000142114703,0.15559998578852968,0.8444000142114703,0.15559998578852968,0.05062264226060902,0.00032660188848867124,16,4,4,3,1000,1500,False,-0.002599985788529713,0.002599985788529685,0.003289308927275726,-6.731444844628744e-06
MBD3L1,-0.1650096992524932,0.1089766072009053,0.06499067789197199,0.935009322108028,0.935009322108028,0.06499067789197199,0.10773655129573256,0.0010561707937857547,16,4,4,3,1000,1500,False,0.8686759887746947,-0.0013426554413613068,0.0014032179623992697,-0.00027716253954754516
MBD3L2,-0.1092362355169934,0.10954535432155,0.15933901852168164,0.8406609814783184,0.8406609814783184,0.15933901852168164,0.040899128152754385,0.00018046177966220134,16,4,4,3,1000,1500,False,0.688327648144985,0.007005685188348348,-0.005100871847245614,0.00018046177966220134
MBD5,-0.1098655171634018,0.1174029636676561,0.17468847226805861,0.8253115277319414,0.8253115277319414,0.17468847226805861,0.05291003026247249,0.00044531684354738365,16,4,4,3,1000,1500,False,0.6563115277319413,0.005688472268058603,0.002243363595805889,0.00044531684354738365
MBIP,-0.1633213241971658,0.1192348609262917,0.08538329788151189,0.9146167021184881,0.9146167021184881,0.08538329788151189,0.12588694626579078,0.0023739512816258633,16,4,4,3,1000,1500,False,0.8302833687851549,0.0010499645481785863,0.005553612932457472,0.0003739512816258632
MBLAC1,-0.088072056606575,0.1120189186910446,0.21586788751560215,0.7841321124843978,0.7841321124843978,0.21586788751560215,0.029518302139706982,0.00011793084000348814,16,4,4,3,1000,1500,False,0.5697987791510646,0.0015345541822688602,0.002518302139706982,-0.00021540249332981185
MBOAT7,0.1523666921811305,0.1103634169010985,0.9162975571325006,0.0837024428674994,0.9162975571325006,0.0837024428674994,0.09051763914791223,0.000816644095985321,16,4,4,3,1000,1500,False,-0.0030357762008326183,0.0030357762008327988,0.0008509724812456321,0.000149977429318721
MCM3,-0.2962335993953957,0.118490292745134,0.006208501576185688,0.9937914984238143,0.9937914984238143,0.006208501576185688,0.48732136911700547,0.04274453445388877,16,4,4,3,1000,1500,False,0.9887914984238143,0.0012085015761856875,0.00032136911700547666,-0.0005887988794445326
MCM4,-0.2285874094116472,0.1063569241741566,0.015807372016301224,0.9841926279836988,0.9841926279836988,0.015807372016301224,0.25096957951770993,0.00535681177906234,16,4,4,3,1000,1500,False,0.9691926279836988,0.0008073720163012249,-0.006363753815623374,2.3478445729040003e-05
